paper,IV,ref,lci,or,uci,rep,changed
Paper 1 Table 4,Rural (ref),ref,1,1,1,Original,
Paper 1 Table 4,Rural (ref),ref,1,1,1,Reproduced,
Paper 1 Table 4,*Micropolitan,,1.07,3.3,10.23,Original,
Paper 1 Table 4,*Micropolitan,,0.625,1.586,4.024,Reproduced,2non
Paper 1 Table 4,Urban,,5.41,15.74,45.77,Original,
Paper 1 Table 4,Urban,,2.298,5.306,12.252,Reproduced,
Paper 1 Table 4,Per capita revenue,,1,1.01,1.02,Original,
Paper 1 Table 4,Per capita revenue,,1,1.007,1.014,Reproduced,
Paper 1 Table 4,Agency-wide strategic plan (ref=no),,3.97,8.33,17.47,Original,
Paper 1 Table 4,Agency-wide strategic plan (ref=no),,5.029,10.469,21.794,Reproduced,
Paper 1 Table 4,Shared governance (ref),ref,1,1,1,Original,
Paper 1 Table 4,Shared governance (ref),ref,1,1,1,Reproduced,
Paper 1 Table 4,State governance,,2.71,9.76,35.12,Original,
Paper 1 Table 4,State governance,,1.614,5.541,19.023,Reproduced,
Paper 1 Table 4,Local governance,,0.88,1.98,4.48,Original,
Paper 1 Table 4,Local governance,,0.936,2.097,4.697,Reproduced,
Paper 1 Table 4,Local board(s) of health (ref=no),,1.69,3.63,7.82,Original,
Paper 1 Table 4,Local board(s) of health (ref=no),,1.048,2.098,4.201,Reproduced,
Paper 1 Table 4,**Epidemiologist (ref=no),,0.78,1.43,2.6,Original,
Paper 1 Table 4,**Epidemiologist (ref=no),,1.005,1.838,3.362,Reproduced,2sig
Paper 1 Table 4,Public health physician (ref=no),,0.41,0.72,1.27,Original,
Paper 1 Table 4,Public health physician (ref=no),,0.446,0.772,1.337,Reproduced,
Paper 1 Table 4,Information systems specialist (ref=no),,1.27,2.26,4.04,Original,
Paper 1 Table 4,Information systems specialist (ref=no),,1.268,2.171,3.717,Reproduced,
Paper 2 Table 3,Population,,1,1,1,Original,
Paper 2 Table 3,Population,,1,1,1,Reproduced,
Paper 2 Table 3,Governance category: State,,5.72,7.62,10.149,Original,
Paper 2 Table 3,Governance category: State,,5.235,6.835,8.925,Reproduced,
Paper 2 Table 3,Shared,,2.335,3.32,4.719,Original,
Paper 2 Table 3,Shared,,2.654,3.726,5.231,Reproduced,
Paper 2 Table 3,Local (ref),ref,1,1,1,Original,
Paper 2 Table 3,Local (ref),ref,1,1,1,Reproduced,
Paper 2 Table 3,Strategic plan: Yes within 5 y,,1.77,2.305,3.002,Original,
Paper 2 Table 3,Strategic plan: Yes within 5 y,,1.53,1.966,2.527,Reproduced,
Paper 2 Table 3,"No, but plan SP next year",,1.109,1.461,1.923,Original,
Paper 2 Table 3,"No, but plan SP next year",,1.185,1.549,2.026,Reproduced,
Paper 2 Table 3,No SP or not within 5 y (ref),ref,1,1,1,Original,
Paper 2 Table 3,No SP or not within 5 y (ref),ref,1,1,1,Reproduced,
Paper 2 Table 3,CHA performed: Yes within 5 y ,,0.66,0.911,1.258,Original,
Paper 2 Table 3,CHA performed: Yes within 5 y ,,0.674,0.921,1.257,Reproduced,
Paper 2 Table 3,"No, but plan CHA next year",,0.452,0.682,1.029,Original,
Paper 2 Table 3,"No, but plan CHA next year",,0.543,0.812,1.214,Reproduced,
Paper 2 Table 3,No CHA or not within 5 y (ref),,1,1,1,Original,
Paper 2 Table 3,No CHA or not within 5 y (ref),,1,1,1,Reproduced,
Paper 2 Table 3,CHIP completed: Yes within 5 y,,1.003,1.396,1.944,Original,
Paper 2 Table 3,CHIP completed: Yes within 5 y,,0.994,1.368,1.882,Reproduced,2non
Paper 2 Table 3,"No, but plan CHIP next year",,1.555,2.229,3.195,Original,
Paper 2 Table 3,"No, but plan CHIP next year",,1.416,2.004,2.836,Reproduced,
Paper 2 Table 3,No CHIP or not within 5 y (ref),ref,1,1,1,Original,
Paper 2 Table 3,No CHIP or not within 5 y (ref),ref,1,1,1,Reproduced,
Paper 2 Table 3,Top executive had MD degree: Yes,,1.004,1.447,2.084,Original,
Paper 2 Table 3,Top executive had MD degree: Yes,,1.118,1.59,2.261,Reproduced,
Paper 2 Table 3,No (ref),ref,1,1,1,Original,
Paper 2 Table 3,No (ref),ref,1,1,1,Reproduced,
Paper 2 Table 3,LHD had local board of health: No,,1.225,1.543,1.944,Original,
Paper 2 Table 3,LHD had local board of health: No,,1.159,1.446,1.805,Reproduced,
Paper 2 Table 3,Yes local board of health (ref),ref,1,1,1,Original,
Paper 2 Table 3,Yes local board of health (ref),ref,1,1,1,Reproduced,
Paper 2 Table 3,"To accomplish CHA: Networking, coordinating, or cooperating",,1.921,2.843,4.206,Original,
Paper 2 Table 3,"To accomplish CHA: Networking, coordinating, or cooperating",,2.001,2.923,4.271,Reproduced,
Paper 2 Table 3,Collaborating,,3.066,4.617,6.951,Original,
Paper 2 Table 3,Collaborating,,2.988,4.429,6.564,Reproduced,
Paper 2 Table 3,Not involved no program (ref),ref,1,1,1,Original,
Paper 2 Table 3,Not involved no program (ref),ref,1,1,1,Reproduced,
Paper 2 Table 3,Per capita expenditures quartiles: Not reported,,0.438,0.598,0.816,Original,
Paper 2 Table 3,Per capita expenditures quartiles: Not reported,,0.497,0.666,0.893,Reproduced,
Paper 2 Table 3,<$22.80,,0.415,0.568,0.778,Original,
Paper 2 Table 3,<$22.80,,0.482,0.653,0.884,Reproduced,
Paper 2 Table 3,$22.81-37.88,,0.464,0.632,0.86,Original,
Paper 2 Table 3,$22.81-37.88,,0.576,0.773,1.038,Reproduced,2non
Paper 2 Table 3,$37.89-65.02,,0.37,0.506,0.693,Original,
Paper 2 Table 3,$37.89-65.02,,0.418,0.562,0.756,Reproduced,
Paper 2 Table 3,>$65.02 (ref),ref,1,1,1,Original,
Paper 2 Table 3,>$65.02 (ref),ref,1,1,1,Reproduced,
Paper 4 Table 2,"Jurisdiction population (<50,000 ref)",ref,1,1,1,Original,
Paper 4 Table 2,"Jurisdiction population (<50,000 ref)",ref,1,1,1,Reproduced,
Paper 4 Table 2,"50,000 - 499,999",,0.38,1.01,2.75,Original,
Paper 4 Table 2,"50,000 - 499,999",,0.48,1.13,2.66,Reproduced,
Paper 4 Table 2,"500,000+",,0.24,0.83,2.81,Original,
Paper 4 Table 2,"500,000+",,0.25,1.32,6.89,Reproduced,
Paper 4 Table 2,Jurisdiction type (county ref),ref,1,1,1,Original,
Paper 4 Table 2,Jurisdiction type (county ref),ref,1,1,1,Reproduced,
Paper 4 Table 2,City-county/multicounty ,,0.34,1.64,7.96,Original,
Paper 4 Table 2,City-county/multicounty ,,0.33,1.54,7.21,Reproduced,
Paper 4 Table 2,City/multicity,,0.04,0.16,0.77,Original,
Paper 4 Table 2,City/multicity,,0.04,0.17,0.74,Reproduced,
Paper 4 Table 2,Centralised governance,,0.02,0.12,0.85,Original,
Paper 4 Table 2,Centralised governance,,0.02,0.13,0.86,Reproduced,
Paper 4 Table 2,"FTEs per 10,000 people",,0.83,0.92,1.01,Original,
Paper 4 Table 2,"FTEs per 10,000 people",,0.84,0.93,1.02,Reproduced,
Paper 4 Table 2,Per capita expenditure (log)($),,1,1.85,3.42,Original,
Paper 4 Table 2,Per capita expenditure (log)($),,0.97,1.75,3.16,Reproduced,
Paper 4 Table 2,Full time director,,0.49,1.57,5.07,Original,
Paper 4 Table 2,Full time director,,0.44,1.43,4.7,Reproduced,
Paper 4 Table 2,Director tenure,,0.94,0.98,1.03,Original,
Paper 4 Table 2,Director tenure,,0.95,0.99,1.03,Reproduced,
Paper 4 Table 2,With local board of health,,0.43,1.01,2.36,Original,
Paper 4 Table 2,With local board of health,,0.44,1.03,2.42,Reproduced,
Paper 4 Table 2,Completed CHA in the past 3 years,,0.59,1.29,2.82,Original,
Paper 4 Table 2,Completed CHA in the past 3 years,,0.6,1.29,2.76,Reproduced,
Paper 4 Table 2,Geographic location (Midwest ref),ref,1,1,1,Original,
Paper 4 Table 2,Geographic location (Midwest ref),ref,1,1,1,Reproduced,
Paper 4 Table 2,NE,,0.19,0.91,4.43,Original,
Paper 4 Table 2,NE,,0.17,0.86,4.39,Reproduced,
Paper 4 Table 2,South,,0.08,0.25,0.74,Original,
Paper 4 Table 2,South,,0.08,0.24,0.7,Reproduced,
Paper 4 Table 2,West,,0.14,0.36,0.94,Original,
Paper 4 Table 2,West,,0.13,0.35,0.96,Reproduced,2non
Paper 4 Table 2,Disparity total score,,1.08,1.27,1.49,Original,
Paper 4 Table 2,Disparity total score,,1.06,1.24,1.46,Reproduced,
Paper 5 Table 4 Model 1,"Population: <25,000 (ref)",ref,1,1,1,Original,
Paper 5 Table 4 Model 1,"Population: <25,000 (ref)",ref,1,1,1,Reproduced,
Paper 5 Table 4 Model 1,"25,000 - 49,999",,1.05,1.41,1.9,Original,
Paper 5 Table 4 Model 1,"25,000 - 49,999",,1.02,1.36,1.83,Reproduced,
Paper 5 Table 4 Model 1,"50,000 - 99,999",,1,1.39,1.93,Original,
Paper 5 Table 4 Model 1,"50,000 - 99,999",,0.98,1.35,1.87,Reproduced,
Paper 5 Table 4 Model 1,"100,000 - 499,999",,1.29,1.74,2.34,Original,
Paper 5 Table 4 Model 1,"100,000 - 499,999",,1.25,1.68,2.25,Reproduced,
Paper 5 Table 4 Model 1,"500,000+",,1.4,2.19,3.42,Original,
Paper 5 Table 4 Model 1,"500,000+",,1.42,2.21,3.44,Reproduced,
Paper 5 Table 4 Model 1,Governance type: State governance (ref),ref,1,1,1,Original,
Paper 5 Table 4 Model 1,Governance type: State governance (ref),ref,1,1,1,Reproduced,
Paper 5 Table 4 Model 1,Local governance,,0.82,1.16,1.66,Original,
Paper 5 Table 4 Model 1,Local governance,,0.82,1.16,1.65,Reproduced,
Paper 5 Table 4 Model 1,Shared governance,,2.13,3.3,5.09,Original,
Paper 5 Table 4 Model 1,Shared governance,,2.14,3.29,5.05,Reproduced,
Paper 5 Table 4 Model 1,Local BOH: Having a local BOH,,0.51,0.83,1.37,Original,
Paper 5 Table 4 Model 1,Local BOH: Having a local BOH,,0.48,0.77,1.25,Reproduced,
Paper 5 Table 4 Model 1,BOH with authority to hire or fire agency head,,1.45,2.11,3.06,Original,
Paper 5 Table 4 Model 1,BOH with authority to hire or fire agency head,,1.37,1.98,2.86,Reproduced,
Paper 5 Table 4 Model 1,BOH with authority to approve LHD budget,,0.5,0.7,0.98,Original,
Paper 5 Table 4 Model 1,BOH with authority to approve LHD budget,,0.52,0.74,1.03,Reproduced,2non
Paper 5 Table 4 Model 1,BOH with authority to adopt PH regulations,,0.52,0.78,1.19,Original,
Paper 5 Table 4 Model 1,BOH with authority to adopt PH regulations,,0.51,0.76,1.13,Reproduced,
Paper 5 Table 4 Model 1,BOH with authority to set and impose fees,,0.9,1.32,1.93,Original,
Paper 5 Table 4 Model 1,BOH with authority to set and impose fees,,0.91,1.34,1.96,Reproduced,
Paper 5 Table 4 Model 1,BOH with authority to impose taxes for PH,,0.85,1.22,1.73,Original,
Paper 5 Table 4 Model 1,BOH with authority to impose taxes for PH,,0.88,1.25,1.77,Reproduced,
Paper 5 Table 4 Model 1,BOH with authority to request PH levy,,0.71,0.96,1.28,Original,
Paper 5 Table 4 Model 1,BOH with authority to request PH levy,,0.69,0.93,1.24,Reproduced,
Paper 5 Table 4 Model 1,BOH with authority to advise the LHD or elected officials,,0.55,0.83,1.27,Original,
Paper 5 Table 4 Model 1,BOH with authority to advise the LHD or elected officials,,0.6,0.9,1.34,Reproduced,
Paper 5 Table 4 Model 1,"BOH with authority to set policies, goals and priorities",,0.74,1.18,1.86,Original,
Paper 5 Table 4 Model 1,"BOH with authority to set policies, goals and priorities",,0.77,1.2,1.89,Reproduced,
Paper 5 Table 4 Model 1,Providing clinical services,,1.01,1.27,1.59,Original,
Paper 5 Table 4 Model 1,Providing clinical services,,1.01,1.26,1.58,Reproduced,
Paper 5 Table 4 Model 2,"Population: <25,000 (ref)",ref,1,1,1,Original,
Paper 5 Table 4 Model 2,"Population: <25,000 (ref)",ref,1,1,1,Reproduced,
